CUSTOMER_ID,MOLFORMULA,MOLWEIGHT,ANALYTICAL_RESULT,SMILES,SALTDATA,Plate Position 1,MGL Plate labcyte,Plate volume labcyte,WellConcentration,LibraryID,LibraryID (#1),Batchref
,,,,O=C(C)C=1C(=O)N(C2CCCC2)c2nc(Nc3ncc(N4CCNCC4)cc3)ncc2C=1C,,,,,,,,
,,,,Fc1cc2C(=O)N(C(=O)c2cc1)C1C(=O)N(COC(=O)NCCNC(=O)C)C(=O)CC1,,,,,,,,
,,,,Clc1cc([C@@]2[C@](N([C@@](C(C)(C)C)CS(=O)(=O)N3CCNCC3)C(=O)[C@](CC(=O)O)(C)C2)c2ccc(Cl)cc2)ccc1,,,,,,,,
,,,,Fc1cc2C(=O)N(C(=O)c2cc1)C1C(=O)N(COC(=O)NCCNC(=O)[C@@](N)C(C)C)C(=O)CC1,,,,,,,,
,,,,Fc1cc2C(=O)N(C(=O)c2cc1)C1C(=O)N(COC(=O)NCCNC(=O)C(NC(=O)C(N)C(C)C)C(C)C)C(=O)CC1,,,,,,,,
,,,,Fc1cc2C(=O)N(C(=O)c2cc1)C1C(=O)N(COC(=O)OC(C)C)C(=O)CC1,,,,,,,,
,,,,Fc1c2C(=O)N(C(=O)c2ccc1)C1(C)C(=O)NC(=O)CC1,,,,,,,,
,,,,Fc1cc2C(C)N(C(=O)c2cc1)C1C(=O)NC(=O)CC1,,,,,,,,
,,,,Clc1c(NC(=O)c2sc(Nc3nc(C)nc(N4CCNCC4)c3)nc2)c(C)ccc1,,,,,,,,
,,,,O=C([C@](C(C)C)N1C(=O)c2c(cccc2)C1)N1[C@](C(=O)CCc2c(O)cc(-c3c(C)ncs3)cc2)C[C@@](O)C1,,,,,,,,
,,,,O=C([C@@](N)C(C)(C)C)N1[C@](C(=O)NCc2ccc(-c3c(C)ncs3)cc2)C[C@@](O)C1,,,,,,,,
,,,,O=C1N(CCCC)C(=O)CCC1N1C(=O)c2c(C1=O)ccc(O)c2,,,,,,,,
,,,,S(=O)(=O)(Nc1c(Oc2cc(OCCC)cc(O)c2)cc2N(C)C(=O)N(C)c2c1)c1cc(OC)c(OC)cc1,,,,,,,,
,,,,Fc1cc2C(=O)N(C(=O)c2cc1)C1C(=O)N(COC(=O)OCC)C(=O)CC1,,,,,,,,
,,,,Fc1ccc(C(=O)c2nc([C@]3N(C(=O)[C@@](NC(=O)[C@@](NC)C)C4CCCCC4)CCC3)sc2)cc1,,,,,,,,
